seed;problem;evolver;iterations;births;elapsed.seconds;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[fitness]→uniqueness;best→genotype→size;best→birth.iteration;best→fitness;all→each[fitness]→hist;best→solution
0;pagie1;prolog-ffnn-enfdiv-all;0;100;0.0;100;30;1;1.0;1.0;0.71;113;0;2.6586137555249514;█▁▁▁▁▁▁▁;f0[tanh]-[0,500]->f1[tanh],f1[tanh]-[0,200]->f2[tanh],f0[tanh]-[0,709]->f3[tanh],f3[tanh]-[0,057]->f2[tanh],f0[tanh]-[0,963]->f4[tanh],f0[tanh]-[0,375]->f5[tanh],f0[tanh]-[0,960]->f6[tanh],f2[tanh]-[9,000]->f7[tanh],f7[tanh]-[4,000]->f10[tanh],f0[tanh]-[0,558]->f11[tanh],f11[tanh]-[0,491]->f8[tanh],f0[tanh]-[0,741]->f12[tanh],f12[tanh]-[0,160]->f2[tanh],f8[tanh]-[0,427]->f13[tanh],f0[tanh]-[0,187]->f14[tanh],f15[tanh]-[0,396]->f0[tanh],f16[tanh]-[0,142]->f0[tanh],f16[tanh]-[0,946]->f17[tanh],f17[tanh]-[0,098]->f3[tanh],f10[tanh]-[0,205]->f18[tanh],f11[tanh]-[0,088]->f19[tanh],f18[tanh]-[2,000]->f20[tanh],f20[tanh]-[2,000]->f24[tanh],f24[tanh]-[5,000]->f25[tanh],f25[tanh]-[0,164]->f26[tanh],f27[tanh]-[0,798]->f15[tanh],f28[tanh]-[0,687]->f15[tanh],f0[tanh]-[0,672]->f30[tanh],f30[tanh]-[0,283]->f22[tanh],f30[tanh]-[0,293]->f8[tanh],f26[tanh]-[2,000]->f31[tanh],f31[tanh]-[0,000]->f32[tanh],f33[tanh]-[0,656]->f27[tanh],f34[tanh]-[0,297]->f27[tanh],f21[tanh]-[0,895]->f35[tanh],f32[tanh]-[4,000]->f36[tanh],f15[tanh]-[0,263]->f38[tanh],f20[tanh]-[0,963]->f39[tanh],f39[tanh]-[0,007]->f25[tanh],f36[tanh]-[2,000]->o0,f27[tanh]-[0,506]->f40[tanh],f40[tanh]-[0,946]->f0[tanh],f41[tanh]-[0,228]->f34[tanh],f42[tanh]-[0,527]->f34[tanh],f45[tanh]-[0,407]->f41[tanh],f46[tanh]-[0,761]->f41[tanh],f32[tanh]-[0,966]->f47[tanh],f48[tanh]-[0,273]->f46[tanh],f49[tanh]-[0,055]->f46[tanh],f48[tanh]-[0,373]->f50[tanh],f50[tanh]-[0,415]->f41[tanh],f7[tanh]-[0,732]->f51[tanh],f18[tanh]-[0,159]->f53[tanh],f53[tanh]-[0,451]->f39[tanh],i0-[0,459]->f49[tanh],i1-[0,078]->f48[tanh]
0;pagie1;prolog-ffnn-enfdiv-all;1;200;38.285;100;100;100;1.0;1.0;0.01;68;0;2.6586137555249514;█▁▁▁▁▁▁▁;f0[tanh]-[0,454]->f1[tanh],f1[tanh]-[0,725]->f2[tanh],f2[tanh]-[9,000]->f5[tanh],f4[tanh]-[0,983]->f2[tanh],f5[tanh]-[3,000]->f6[tanh],f0[tanh]-[0,748]->f7[tanh],f2[tanh]-[0,330]->f9[tanh],f9[tanh]-[0,751]->f6[tanh],f6[tanh]-[9,000]->f10[tanh],f10[tanh]-[6,000]->f11[tanh],f11[tanh]-[0,834]->f12[tanh],f14[tanh]-[0,139]->f0[tanh],f15[tanh]-[0,879]->f0[tanh],f3[tanh]-[0,258]->f17[tanh],f12[tanh]-[0,000]->f18[tanh],f18[tanh]-[1,000]->f19[tanh],f20[tanh]-[0,781]->f14[tanh],f21[tanh]-[0,020]->f15[tanh],f19[tanh]-[2,000]->f22[tanh],f4[tanh]-[0,757]->f23[tanh],f23[tanh]-[0,436]->f8[tanh],f9[tanh]-[0,974]->f25[tanh],f18[tanh]-[0,092]->f26[tanh],f26[tanh]-[0,449]->f22[tanh],f14[tanh]-[0,257]->f27[tanh],f28[tanh]-[0,663]->f21[tanh],f29[tanh]-[0,932]->f21[tanh],f22[tanh]-[4,000]->f30[tanh],f30[tanh]-[1,000]->f31[tanh],i0-[0,390]->f29[tanh],i1-[0,893]->f29[tanh],f31[tanh]-[3,000]->o0
0;pagie1;prolog-ffnn-enfdiv-all;2;300;45.475;100;100;100;1.0;1.0;0.01;26;1;2.6586137555249514;█▁▁▁▁▁▁▁;i0-[0,500]->f0[tanh],f0[tanh]-[0,200]->f1[tanh],f1[tanh]-[8,000]->f2[tanh],f0[tanh]-[0,593]->f4[tanh],f2[tanh]-[7,000]->f5[tanh],f5[tanh]-[5,000]->f7[tanh],f2[tanh]-[0,746]->f8[tanh],f8[tanh]-[0,869]->f7[tanh],f0[tanh]-[0,335]->f9[tanh],f7[tanh]-[8,000]->f10[tanh],f10[tanh]-[0,000]->f11[tanh],f11[tanh]-[9,000]->o0
0;pagie1;prolog-ffnn-enfdiv-all;3;400;52.546;100;100;100;1.0;1.0;0.01;107;2;2.6586137555249514;█▁▁▁▁▁▁▁;f0[tanh]-[0,500]->f1[tanh],f1[tanh]-[0,858]->f2[tanh],f2[tanh]-[8,000]->f3[tanh],f4[tanh]-[0,678]->f0[tanh],f5[tanh]-[0,703]->f0[tanh],f0[tanh]-[0,808]->f7[tanh],f8[tanh]-[0,253]->f4[tanh],f9[tanh]-[0,883]->f4[tanh],f3[tanh]-[9,000]->f10[tanh],f11[tanh]-[0,931]->f8[tanh],f12[tanh]-[0,016]->f9[tanh],f10[tanh]-[6,000]->f14[tanh],f14[tanh]-[9,000]->f15[tanh],f11[tanh]-[0,547]->f9[tanh],f3[tanh]-[0,413]->f17[tanh],f17[tanh]-[0,168]->f14[tanh],f12[tanh]-[0,389]->f18[tanh],f2[tanh]-[0,953]->f19[tanh],f11[tanh]-[0,346]->f20[tanh],f20[tanh]-[0,696]->f4[tanh],f21[tanh]-[0,818]->f12[tanh],f22[tanh]-[0,868]->f12[tanh],f3[tanh]-[0,925]->f23[tanh],f23[tanh]-[0,096]->f14[tanh],f15[tanh]-[0,000]->f24[tanh],f2[tanh]-[0,453]->f25[tanh],f2[tanh]-[0,318]->f28[tanh],f28[tanh]-[0,930]->f23[tanh],f24[tanh]-[0,000]->f29[tanh],f6[tanh]-[0,000]->f30[tanh],f31[tanh]-[0,284]->f22[tanh],f32[tanh]-[0,576]->f21[tanh],f33[tanh]-[0,144]->f31[tanh],f34[tanh]-[0,706]->f31[tanh],f29[tanh]-[8,000]->f35[tanh],f36[tanh]-[0,631]->f33[tanh],f37[tanh]-[0,788]->f34[tanh],f39[tanh]-[0,761]->f36[tanh],f36[tanh]-[0,398]->f40[tanh],f40[tanh]-[0,903]->f31[tanh],f19[tanh]-[0,097]->f10[tanh],f42[tanh]-[0,466]->f38[tanh],f43[tanh]-[0,398]->f38[tanh],f35[tanh]-[9,000]->f44[tanh],f39[tanh]-[0,230]->f45[tanh],f45[tanh]-[0,807]->f40[tanh],f7[tanh]-[0,934]->f47[tanh],f47[tanh]-[0,298]->f3[tanh],i0-[0,580]->f42[tanh],i1-[0,350]->f42[tanh],f1[tanh]-[0,207]->f48[tanh],f48[tanh]-[0,659]->f25[tanh],f47[tanh]-[0,287]->f49[tanh],f44[tanh]-[6,000]->o0
0;pagie1;prolog-ffnn-enfdiv-all;4;500;58.548;100;100;100;1.0;1.0;0.01;89;3;2.6586137555249514;█▁▁▁▁▁▁▁;f0[tanh]-[0,222]->f1[tanh],f1[tanh]-[0,200]->f2[tanh],f0[tanh]-[0,482]->f3[tanh],f3[tanh]-[0,259]->f2[tanh],f2[tanh]-[6,000]->f4[tanh],f5[tanh]-[0,304]->f0[tanh],f0[tanh]-[0,194]->f7[tanh],f7[tanh]-[0,919]->f2[tanh],f7[tanh]-[0,201]->f9[tanh],f10[tanh]-[0,834]->f6[tanh],f11[tanh]-[0,080]->f6[tanh],f13[tanh]-[0,587]->f11[tanh],f14[tanh]-[0,753]->f11[tanh],f4[tanh]-[7,000]->f15[tanh],f16[tanh]-[0,935]->f13[tanh],f17[tanh]-[0,844]->f14[tanh],f3[tanh]-[0,758]->f19[tanh],f15[tanh]-[6,000]->f21[tanh],f24[tanh]-[0,744]->f16[tanh],f25[tanh]-[0,817]->f17[tanh],f7[tanh]-[0,065]->f26[tanh],f26[tanh]-[0,193]->f4[tanh],f20[tanh]-[0,170]->f4[tanh],f29[tanh]-[0,996]->f25[tanh],f30[tanh]-[0,281]->f24[tanh],f4[tanh]-[0,875]->f31[tanh],f31[tanh]-[0,387]->f21[tanh],f30[tanh]-[0,042]->f32[tanh],f14[tanh]-[0,984]->f33[tanh],f33[tanh]-[0,786]->f6[tanh],f21[tanh]-[4,000]->f34[tanh],f34[tanh]-[0,711]->f35[tanh],f7[tanh]-[0,397]->f27[tanh],i0-[0,444]->f30[tanh],i1-[0,195]->f29[tanh],f16[tanh]-[0,521]->f36[tanh],f6[tanh]-[0,431]->f37[tanh],f37[tanh]-[0,893]->f3[tanh],f35[tanh]-[0,000]->f38[tanh],f29[tanh]-[0,462]->f39[tanh],f38[tanh]-[2,000]->o0,f32[tanh]-[0,242]->f16[tanh],i1-[0,325]->f40[tanh],f40[tanh]-[0,934]->f32[tanh]
0;pagie1;prolog-ffnn-enfdiv-all;5;600;64.46;100;100;100;1.0;1.0;0.01;115;4;2.6586137555249514;█▁▁▁▁▁▁▁;f0[tanh]-[0,716]->f1[tanh],f1[tanh]-[0,739]->f2[tanh],f3[tanh]-[0,098]->f0[tanh],f4[tanh]-[0,843]->f0[tanh],f5[tanh]-[0,966]->f3[tanh],f6[tanh]-[0,056]->f3[tanh],f7[tanh]-[0,161]->f5[tanh],f8[tanh]-[0,232]->f5[tanh],f2[tanh]-[3,000]->f9[tanh],f6[tanh]-[0,199]->f10[tanh],f10[tanh]-[0,856]->f0[tanh],f7[tanh]-[0,545]->f6[tanh],f7[tanh]-[0,416]->f11[tanh],f11[tanh]-[0,709]->f3[tanh],f12[tanh]-[0,708]->f7[tanh],f13[tanh]-[0,768]->f7[tanh],f13[tanh]-[0,809]->f8[tanh],f14[tanh]-[0,847]->f12[tanh],f15[tanh]-[0,357]->f13[tanh],f16[tanh]-[0,115]->f15[tanh],f17[tanh]-[0,423]->f15[tanh],f18[tanh]-[0,391]->f17[tanh],f19[tanh]-[0,331]->f17[tanh],f11[tanh]-[0,990]->f21[tanh],f9[tanh]-[6,000]->f22[tanh],f22[tanh]-[3,000]->f24[tanh],f24[tanh]-[1,000]->f25[tanh],f26[tanh]-[0,666]->f19[tanh],f27[tanh]-[0,772]->f19[tanh],f25[tanh]-[1,000]->f28[tanh],f28[tanh]-[0,470]->f30[tanh],f17[tanh]-[0,524]->f31[tanh],f29[tanh]-[0,132]->f25[tanh],f9[tanh]-[0,620]->f32[tanh],f30[tanh]-[0,000]->f34[tanh],f24[tanh]-[0,229]->f38[tanh],f10[tanh]-[0,276]->f39[tanh],f39[tanh]-[0,172]->f1[tanh],f13[tanh]-[0,419]->f40[tanh],f40[tanh]-[0,318]->f5[tanh],f34[tanh]-[4,000]->f41[tanh],f42[tanh]-[0,437]->f26[tanh],f43[tanh]-[0,545]->f26[tanh],f45[tanh]-[0,107]->f42[tanh],f46[tanh]-[0,871]->f42[tanh],f28[tanh]-[0,152]->f47[tanh],f19[tanh]-[0,055]->f48[tanh],f48[tanh]-[0,841]->f15[tanh],f4[tanh]-[0,055]->f49[tanh],f49[tanh]-[0,679]->f1[tanh],f46[tanh]-[0,384]->f50[tanh],f1[tanh]-[0,398]->f51[tanh],f51[tanh]-[0,296]->f9[tanh],f26[tanh]-[0,324]->f18[tanh],f41[tanh]-[5,000]->o0,i0-[0,982]->f46[tanh],i1-[0,964]->f46[tanh],f29[tanh]-[0,719]->f52[tanh]
0;pagie1;prolog-ffnn-enfdiv-all;6;700;74.107;100;100;100;1.0;1.0;0.01;48;5;2.6586137555249514;█▁▁▁▁▁▁▁;f0[tanh]-[0,500]->f1[tanh],f1[tanh]-[0,030]->f2[tanh],f0[tanh]-[0,718]->f3[tanh],f0[tanh]-[0,737]->f4[tanh],f4[tanh]-[0,045]->f2[tanh],f0[tanh]-[0,581]->f5[tanh],f5[tanh]-[0,618]->f2[tanh],f6[tanh]-[0,207]->f0[tanh],f7[tanh]-[0,339]->f0[tanh],f0[tanh]-[0,572]->f8[tanh],f2[tanh]-[2,000]->f10[tanh],f0[tanh]-[0,600]->f11[tanh],f10[tanh]-[3,000]->f12[tanh],f2[tanh]-[0,471]->f13[tanh],f15[tanh]-[0,186]->f7[tanh],f16[tanh]-[0,565]->f6[tanh],f12[tanh]-[0,000]->f17[tanh],f17[tanh]-[6,000]->f18[tanh],i0-[0,627]->f15[tanh],i1-[0,562]->f16[tanh],f18[tanh]-[9,000]->f19[tanh],f17[tanh]-[0,385]->f20[tanh],f20[tanh]-[0,734]->f19[tanh],f19[tanh]-[7,000]->o0
0;pagie1;prolog-ffnn-enfdiv-all;7;800;80.229;100;100;100;1.0;1.0;0.01;81;6;2.6586137555249514;█▁▁▁▁▁▁▁;f0[tanh]-[0,573]->f1[tanh],f1[tanh]-[0,200]->f2[tanh],f2[tanh]-[0,113]->f3[tanh],f4[tanh]-[0,814]->f5[tanh],f3[tanh]-[0,000]->f6[tanh],f5[tanh]-[0,930]->f3[tanh],f0[tanh]-[0,296]->f8[tanh],f8[tanh]-[0,996]->f7[tanh],f9[tanh]-[0,772]->f0[tanh],f10[tanh]-[0,981]->f0[tanh],f0[tanh]-[0,283]->f11[tanh],f11[tanh]-[0,742]->f2[tanh],f5[tanh]-[0,645]->f12[tanh],i0-[0,484]->f10[tanh],i1-[0,785]->f9[tanh],f6[tanh]-[5,000]->f13[tanh],f10[tanh]-[0,651]->f14[tanh],f13[tanh]-[5,000]->f16[tanh],f16[tanh]-[0,000]->f17[tanh],f17[tanh]-[9,000]->f18[tanh],f4[tanh]-[0,123]->f7[tanh],f9[tanh]-[0,903]->f20[tanh],f20[tanh]-[0,146]->f15[tanh],i1-[0,055]->f22[tanh],f18[tanh]-[6,000]->f24[tanh],f6[tanh]-[0,379]->f25[tanh],f25[tanh]-[0,539]->f16[tanh],f14[tanh]-[0,829]->f26[tanh],f3[tanh]-[0,898]->f19[tanh],f16[tanh]-[0,177]->f27[tanh],f27[tanh]-[0,065]->f18[tanh],f11[tanh]-[0,979]->f28[tanh],f16[tanh]-[0,852]->f29[tanh],f29[tanh]-[0,226]->f18[tanh],f0[tanh]-[0,833]->f30[tanh],f24[tanh]-[6,000]->f31[tanh],f3[tanh]-[0,493]->f32[tanh],f31[tanh]-[1,000]->o0,f0[tanh]-[0,390]->f33[tanh],f33[tanh]-[0,081]->f28[tanh],f18[tanh]-[0,073]->f35[tanh],f35[tanh]-[0,412]->f31[tanh]
0;pagie1;prolog-ffnn-enfdiv-all;8;900;85.824;100;100;100;1.0;1.0;0.01;100;7;2.6586137555249514;█▁▁▁▁▁▁▁;f0[tanh]-[0,358]->f1[tanh],f1[tanh]-[0,629]->f2[tanh],f2[tanh]-[0,844]->f3[tanh],f1[tanh]-[0,791]->f5[tanh],f5[tanh]-[0,632]->f3[tanh],f0[tanh]-[0,876]->f6[tanh],f6[tanh]-[0,964]->f2[tanh],f6[tanh]-[0,534]->f7[tanh],f0[tanh]-[0,682]->f8[tanh],f0[tanh]-[0,339]->f9[tanh],f9[tanh]-[0,161]->f5[tanh],f10[tanh]-[0,031]->f12[tanh],f3[tanh]-[0,000]->f13[tanh],f14[tanh]-[0,754]->f0[tanh],f15[tanh]-[0,100]->f0[tanh],f13[tanh]-[0,486]->f16[tanh],f16[tanh]-[0,000]->f17[tanh],f18[tanh]-[0,128]->f15[tanh],f19[tanh]-[0,318]->f14[tanh],f3[tanh]-[0,495]->f20[tanh],f17[tanh]-[9,000]->f21[tanh],f21[tanh]-[1,000]->f22[tanh],f22[tanh]-[3,000]->f23[tanh],f24[tanh]-[0,435]->f18[tanh],f25[tanh]-[0,334]->f18[tanh],f3[tanh]-[0,962]->f26[tanh],f26[tanh]-[0,793]->f16[tanh],f23[tanh]-[6,000]->f27[tanh],f28[tanh]-[0,729]->f25[tanh],f29[tanh]-[0,666]->f24[tanh],f27[tanh]-[5,000]->f30[tanh],f31[tanh]-[0,668]->f28[tanh],f32[tanh]-[0,983]->f29[tanh],f19[tanh]-[0,940]->f33[tanh],f19[tanh]-[0,526]->f15[tanh],f34[tanh]-[0,090]->f32[tanh],f35[tanh]-[0,704]->f31[tanh],f30[tanh]-[0,000]->f36[tanh],f1[tanh]-[0,520]->f12[tanh],f35[tanh]-[0,832]->f37[tanh],f38[tanh]-[0,100]->f35[tanh],f39[tanh]-[0,297]->f34[tanh],f17[tanh]-[0,803]->f40[tanh],f40[tanh]-[0,737]->f22[tanh],f36[tanh]-[2,000]->f41[tanh],f43[tanh]-[0,442]->f38[tanh],f44[tanh]-[0,641]->f38[tanh],i0-[0,280]->f44[tanh],i1-[0,129]->f44[tanh],f41[tanh]-[7,000]->o0,f34[tanh]-[0,115]->f37[tanh]
0;pagie1;prolog-ffnn-enfdiv-all;9;1000;91.591;100;100;100;1.0;1.0;0.01;119;8;2.6586137555249514;█▁▁▁▁▁▁▁;f0[tanh]-[0,500]->f1[tanh],f1[tanh]-[0,200]->f2[tanh],f0[tanh]-[0,709]->f3[tanh],f3[tanh]-[0,057]->f2[tanh],f0[tanh]-[0,963]->f4[tanh],f0[tanh]-[0,375]->f5[tanh],f0[tanh]-[0,960]->f6[tanh],f2[tanh]-[9,000]->f7[tanh],f7[tanh]-[0,441]->f10[tanh],f0[tanh]-[0,558]->f11[tanh],f11[tanh]-[0,491]->f8[tanh],f0[tanh]-[0,741]->f12[tanh],f12[tanh]-[0,160]->f2[tanh],f8[tanh]-[0,427]->f13[tanh],f0[tanh]-[0,187]->f14[tanh],f15[tanh]-[0,396]->f0[tanh],f16[tanh]-[0,142]->f0[tanh],f16[tanh]-[0,946]->f17[tanh],f17[tanh]-[0,098]->f3[tanh],f10[tanh]-[0,205]->f18[tanh],f11[tanh]-[0,088]->f19[tanh],f18[tanh]-[2,000]->f20[tanh],f20[tanh]-[2,000]->f24[tanh],f24[tanh]-[5,000]->f25[tanh],f25[tanh]-[0,164]->f26[tanh],f27[tanh]-[0,798]->f15[tanh],f28[tanh]-[0,687]->f15[tanh],f0[tanh]-[0,672]->f30[tanh],f30[tanh]-[0,097]->f22[tanh],f30[tanh]-[0,293]->f8[tanh],f26[tanh]-[2,000]->f31[tanh],f31[tanh]-[0,000]->f32[tanh],f33[tanh]-[0,656]->f27[tanh],f34[tanh]-[0,297]->f27[tanh],f21[tanh]-[0,895]->f35[tanh],f32[tanh]-[4,000]->f36[tanh],f15[tanh]-[0,263]->f38[tanh],f20[tanh]-[0,963]->f39[tanh],f39[tanh]-[0,007]->f25[tanh],f36[tanh]-[2,000]->f40[tanh],f27[tanh]-[0,506]->f41[tanh],f41[tanh]-[0,946]->f0[tanh],f42[tanh]-[0,228]->f34[tanh],f43[tanh]-[0,527]->f34[tanh],f46[tanh]-[0,407]->f42[tanh],f47[tanh]-[0,761]->f42[tanh],f32[tanh]-[0,966]->f48[tanh],f49[tanh]-[0,273]->f47[tanh],f50[tanh]-[0,055]->f47[tanh],f49[tanh]-[0,373]->f51[tanh],f51[tanh]-[0,415]->f42[tanh],f7[tanh]-[0,732]->f52[tanh],f18[tanh]-[0,159]->f54[tanh],f54[tanh]-[0,451]->f39[tanh],i0-[0,459]->f50[tanh],i1-[0,078]->f49[tanh],f32[tanh]-[0,289]->f55[tanh],f55[tanh]-[0,430]->f40[tanh],f40[tanh]-[0,000]->o0
